start_idx_attack,end_idx_attack,attack_duration,time_to_detect,idx_detection_abs,idx_detection_rel,attack_len,attack_type,fpr,tpr,pr,rec,tn,fp,fn,tp,target_fpr,detected
24102,35538,29063697000 nanoseconds,233858000 nanoseconds,24136,27,8145,BF1_DDoS_AD,,0.16365868631062,1.0,0.16365868631062,,0,6812,1333,0.05,1
79207,99894,0 days 00:00:28.272247,0 days 00:00:00.020266,79225,13,17324,BF1_DDoS_AD,,0.15585315169706765,1.0,0.15585315169706765,,0,14624,2700,0.05,1
100321,118456,0 days 00:00:19.098815,0 days 00:00:00.001319,100325,3,15881,BF1_DDoS_AD,,0.397770921226623,1.0,0.397770921226623,,0,9564,6317,0.05,1
141997,156403,0 days 00:00:18.066497,0 days 00:00:00.042399,142011,9,12026,BF1_DDoS_AD,,0.15566273075004158,1.0,0.15566273075004158,,0,10154,1872,0.05,1
156967,165776,0 days 00:00:10.052762,0 days 00:00:00.009039,156986,18,7540,BF1_DDoS_AD,,0.153315649867374,1.0,0.153315649867374,,0,6384,1156,0.05,1
168352,198397,0 days 00:00:29.475420,0 days 00:00:00.033159,168415,55,26163,BF1_DDoS_AD,,0.3052020028284218,1.0,0.3052020028284218,,0,18178,7985,0.05,1
229247,233261,0 days 00:00:13.652660,0 days 00:00:00,229247,0,2278,BF1_DDoS_AD,,0.7335381913959613,1.0,0.7335381913959613,,0,607,1671,0.05,1
239054,246270,0 days 00:00:18.326114,0 days 00:00:00,239054,0,4803,BF1_DDoS_AD,,0.7409952113262545,1.0,0.7409952113262545,,0,1244,3559,0.05,1
275848,284592,0 days 00:00:10.006354,0 days 00:00:00,275848,0,7719,BF1_DDoS_AD,,0.7674569244720819,1.0,0.7674569244720819,,0,1795,5924,0.05,1
285299,312986,0 days 00:00:28.652963,0 days 00:00:00,285299,0,24635,BF1_DDoS_AD,,0.5784858940531764,1.0,0.5784858940531764,,0,10384,14251,0.05,1
331597,352995,0 days 00:00:21.147005,0 days 00:00:00.291286,331634,31,19165,BF1_DDoS_AD,,0.26725802243673363,1.0,0.26725802243673363,,0,14043,5122,0.05,1
359552,378781,0 days 00:00:15.915717,0 days 00:00:00.003233,359561,5,17269,BF1_DDoS_AD,,0.7206555098731832,1.0,0.7206555098731832,,0,4824,12445,0.05,1
388550,415085,0 days 00:00:25.802490,0 days 00:00:00,388550,0,23752,BF1_DDoS_AD,,0.7126136746379252,1.0,0.7126136746379252,,0,6826,16926,0.05,1
423316,445999,0 days 00:00:20.931101,0 days 00:00:00,423316,0,20186,BF1_DDoS_AD,,0.5191717031606063,1.0,0.5191717031606063,,0,9706,10480,0.05,1
454774,485827,0 days 00:00:28.357632,0 days 00:00:00.064328,454909,128,28005,BF1_DDoS_AD,,0.16089983931440816,1.0,0.16089983931440816,,0,23499,4506,0.05,1
506000,533305,0 days 00:00:26.825170,0 days 00:00:00.029291,506056,37,23874,BF1_DDoS_AD,,0.10526095333835972,1.0,0.10526095333835972,,0,21361,2513,0.05,1
544377,547857,0 days 00:00:18.242910,0 days 00:00:18.242910,547857,1509,1510,Delay_DDoS_AD,,0.0,0.0,0.0,,0,1510,0,0.05,0
560256,568499,0 days 00:00:27.646528,0 days 00:00:27.646528,568499,4704,4705,Delay_DDoS_AD,,0.0,0.0,0.0,,0,4705,0,0.05,0
596656,612040,0 days 00:00:29.592290,0 days 00:00:26.916042,610664,10868,11947,Delay_DDoS_AD,,0.06311207834602829,1.0,0.06311207834602829,,0,11193,754,0.05,1
652636,662445,0 days 00:00:19.999873,0 days 00:00:00,652636,0,7888,Delay_DDoS_AD,,0.7385902636916836,1.0,0.7385902636916836,,0,2062,5826,0.05,1
664924,678054,0 days 00:00:24.777897,0 days 00:00:00.943415,665462,493,11076,Delay_DDoS_AD,,0.7342903575297941,1.0,0.7342903575297941,,0,2943,8133,0.05,1
705714,722036,0 days 00:00:29.005418,0 days 00:00:00,705714,0,13118,Delay_DDoS_AD,,0.7857905168470803,1.0,0.7857905168470803,,0,2810,10308,0.05,1
742820,758712,0 days 00:00:27.463493,0 days 00:00:00,742820,0,12375,Delay_DDoS_AD,,0.2307070707070707,1.0,0.2307070707070707,,0,9520,2855,0.05,1
772919,779794,0 days 00:00:12.191516,0 days 00:00:12.191516,779794,5606,5607,Delay_DDoS_AD,,0.0,0.0,0.0,,0,5607,0,0.05,0
781470,795841,0 days 00:00:25.286434,0 days 00:00:10.111903,787113,4632,11777,Delay_DDoS_AD,,0.47040842319775833,1.0,0.47040842319775833,,0,6237,5540,0.05,1
822979,836201,0 days 00:00:22.450136,0 days 00:00:00.000093,822982,1,10367,Delay_DDoS_AD,,0.7167936722291888,1.0,0.7167936722291888,,0,2936,7431,0.05,1
841016,849102,0 days 00:00:13.973778,0 days 00:00:00,841016,0,6247,Delay_DDoS_AD,,0.4928765807587642,1.0,0.4928765807587642,,0,3168,3079,0.05,1
899889,906485,0 days 00:00:12.112662,0 days 00:00:09.836365,905192,4240,5284,Delay_DDoS_AD,,0.1468584405753217,1.0,0.1468584405753217,,0,4508,776,0.05,1
969127,974966,0 days 00:00:11.376151,0 days 00:00:00.044950,969154,20,4651,Delay_DDoS_AD,,0.7456460976134165,1.0,0.7456460976134165,,0,1183,3468,0.05,1
976420,990746,0 days 00:00:28.705020,0 days 00:00:00.000083,976421,1,11716,Delay_DDoS_AD,,0.798736770228747,1.0,0.798736770228747,,0,2358,9358,0.05,1
1008250,1018780,0 days 00:00:19.688829,0 days 00:00:00,1008250,0,8384,Delay_DDoS_AD,,0.15660782442748092,1.0,0.15660782442748092,,0,7071,1313,0.05,1
1021444,1035880,0 days 00:00:26.590143,0 days 00:00:07.319812,1025362,3133,11582,Delay_DDoS_AD,,0.5828008979450872,1.0,0.5828008979450872,,0,4832,6750,0.05,1
1039429,1046711,0 days 00:00:13.004171,0 days 00:00:00,1039429,0,5919,Delay_DDoS_AD,,0.7291772258827505,1.0,0.7291772258827505,,0,1603,4316,0.05,1
1059198,1070784,0 days 00:00:21.019296,0 days 00:00:00,1059198,0,9098,Delay_DDoS_AD,,0.7935810068146846,1.0,0.7935810068146846,,0,1878,7220,0.05,1
1086702,1091038,0 days 00:00:17.714430,0 days 00:00:00,1086702,0,2289,SYN-DDoS-AD,,0.744429882044561,1.0,0.744429882044561,,0,585,1704,0.05,1
1121463,1125060,0 days 00:00:16.815529,0 days 00:00:00,1121463,0,2073,SYN-DDoS-AD,,0.2846116739025567,1.0,0.2846116739025567,,0,1483,590,0.05,1
